# Created by WEAP: 3/19/2020 3:28:53 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upper Missouri (1,541,200 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (3,455 ha),  1000 - 2000 m (1,369,426 ha),  2000 - 3000 m (168,320 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 0 to 1000 m, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 0 to 1000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 0 to 1000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m
1949, 5, 14.51, 12.21, 9.927, 57.42, 65.02, 69.39, 2.549, 2.39, 2.371
1949, 6, 17.86, 15.58, 12.61, 31.81, 32.82, 36.44, 3.034, 2.908, 2.912
1949, 7, 21.03, 18.64, 15.79, 47.94, 41.12, 36.95, 2.661, 2.499, 2.491
1949, 8, 21.96, 19.12, 15.99, 4.788, 8.332, 12.45, 2.119, 2.079, 2.093
1949, 9, 15.44, 13.24, 10.84, 17.32, 26.24, 33.91, 2.829, 2.764, 2.759
1949, 10, 6.697, 4.948, 2.733, 31.61, 44.21, 45, 4.305, 4.016, 3.936
1949, 11, 9.861, 7.601, 4.409, 1.488, 3.568, 9.128, 4.398, 4.023, 3.887
1949, 12, -6.702, -6.821, -8.169, 10.58, 17.76, 29.6, 4.51, 4.343, 4.279
1950, 1, -18.8, -18.61, -19.37, 13.69, 20.24, 33.89, 3.782, 3.676, 3.622
1950, 2, 1.672, 1.141, -1.568, 0.275, 1.998, 5.399, 4.305, 3.951, 3.858
1950, 3, -0.933, -1.923, -4.065, 37.48, 41.21, 43.16, 3.894, 3.706, 3.653
1950, 4, 5.953, 3.938, 1.432, 22.99, 32.58, 36.43, 3.427, 3.206, 3.175
1950, 5, 11.54, 9.153, 6.437, 14.26, 20.92, 25.14, 3.52, 3.352, 3.322
1950, 6, 15.44, 13.34, 10.73, 80.61, 87.97, 93.02, 3.165, 2.98, 2.923
1950, 7, 20.28, 17.88, 15.07, 47.39, 41.22, 43.3, 2.474, 2.394, 2.388
1950, 8, 19.17, 17.01, 14.41, 31.53, 37, 33.6, 2.586, 2.475, 2.462
1950, 9, 14.51, 12.47, 10.05, 16.39, 22.48, 23.1, 2.791, 2.679, 2.659
1950, 10, 10.42, 8.633, 6.225, 8.269, 8.502, 15.93, 3.782, 3.603, 3.569
1950, 11, 0.7419, -1.073, -3.355, 20.5, 33.47, 44.45, 4.043, 3.765, 3.695
1950, 12, 0.3697, -0.6199, -2.612, 12.17, 14.49, 18.06, 4.211, 3.869, 3.749
1951, 1, -8.005, -8.107, -9.445, 9.805, 12.27, 17.7, 4.118, 3.831, 3.749
1951, 2, -3.725, -4.21, -6.059, 20.53, 27.43, 41.39, 3.95, 3.659, 3.563
1951, 3, -6.144, -6.463, -8.11, 22.23, 34.34, 53.49, 3.819, 3.613, 3.548
1951, 4, 5.953, 3.926, 1.589, 55.35, 62.35, 63.85, 2.903, 2.802, 2.774
1951, 5, 12.84, 10.69, 8.112, 44.3, 51.98, 67.6, 3.651, 3.522, 3.497
1951, 6, 13.77, 11.38, 8.668, 80.47, 96.84, 115.4, 2.436, 2.348, 2.335
1951, 7, 20.84, 18.66, 15.95, 46.32, 57.17, 62.74, 2.399, 2.282, 2.298
1951, 8, 18.42, 16.07, 13.49, 72.61, 69.49, 73.08, 2.586, 2.429, 2.408
1951, 9, 12.47, 10.7, 8.481, 39.22, 48.56, 50.38, 2.978, 2.901, 2.882
1951, 10, 6.139, 4.813, 2.697, 28.48, 37.78, 49.05, 2.997, 2.851, 2.823
1951, 11, 2.975, 1.18, -1.599, 6.712, 10.9, 15.52, 3.931, 3.727, 3.635
1951, 12, -8.191, -9.078, -10.98, 44.34, 39.48, 45.08, 3.987, 3.773, 3.7
1952, 1, -8.191, -8.383, -9.658, 15.01, 12.24, 18.79, 4.547, 4.141, 4.038
1952, 2, -1.491, -2.353, -4.493, 19.82, 23.04, 28.15, 3.931, 3.517, 3.384
1952, 3, -2.05, -3.016, -4.959, 14.44, 18.06, 18.11, 2.941, 2.748, 2.704
1952, 4, 11.35, 8.761, 5.826, 6.2, 5.212, 6.178, 2.866, 2.715, 2.68
1952, 5, 13.77, 11.79, 9.074, 48.4, 61.1, 64, 2.754, 2.593, 2.586
1952, 6, 16.75, 14.81, 11.98, 40.09, 42.65, 57.05, 3.557, 3.334, 3.291
1952, 7, 19.72, 17.73, 14.88, 25.15, 25.74, 27.11, 2.773, 2.68, 2.673
1952, 8, 19.35, 17.4, 14.7, 19.1, 44.43, 53.63, 2.53, 2.441, 2.451
1952, 9, 17.12, 15.17, 12.56, 9.857, 10.42, 12.24, 2.941, 2.795, 2.769
1952, 10, 11.35, 9.558, 7.298, 0, 7.129, 10.56, 2.829, 2.637, 2.568
1952, 11, 2.045, 0.2642, -2.233, 16.85, 20.51, 27.35, 3.501, 3.105, 2.974
1952, 12, 0.5558, -0.7134, -2.935, 2.392, 3.362, 4.931, 4.043, 3.711, 3.6
1953, 1, 0.3697, 0.4575, -1.078, 14.91, 31.02, 54.35, 5.201, 4.91, 4.836
1953, 2, 0.5558, -0.7932, -3.204, 22.85, 38.33, 43.75, 4.566, 4.056, 3.908
1953, 3, 3.347, 1.585, -0.8763, 19.4, 17.52, 18.94, 4.099, 3.776, 3.671
1953, 4, 4.65, 2.864, 0.5635, 48.15, 51.57, 55.1, 3.184, 3.075, 3.062
1953, 5, 10.98, 8.767, 6.223, 161.3, 160.6, 136.6, 3.408, 3.254, 3.217
1953, 6, 15.82, 13.74, 10.8, 126.1, 99.94, 96.75, 2.885, 2.759, 2.743
1953, 7, 21.59, 19.41, 16.54, 8.444, 8.157, 8.534, 2.455, 2.308, 2.305
1953, 8, 20.84, 18.59, 15.62, 12.68, 17.22, 16.31, 2.418, 2.221, 2.205
1953, 9, 16.93, 14.71, 12, 18.29, 22.45, 19.83, 3.184, 3.08, 3.063
1953, 10, 13.21, 11.24, 8.465, 0.9864, 2.967, 4.501, 3.184, 2.972, 2.925
1953, 11, 7.255, 5.417, 2.614, 1.306, 3.476, 7.497, 4.006, 3.766, 3.67
1953, 12, 0.5558, -0.6089, -2.646, 21.94, 17.31, 22.57, 5.482, 5.004, 4.856
1954, 1, -12.29, -11.76, -11.96, 25.09, 49.29, 67.62, 3.931, 3.764, 3.727
1954, 2, 4.836, 3.184, 0.5437, 9.177, 17.14, 26.69, 5.407, 4.847, 4.697
1954, 3, -2.236, -3.76, -6.001, 26.79, 30.67, 36.27, 3.221, 3.057, 2.999
1954, 4, 4.092, 2.593, 0.4886, 22.84, 28.99, 36.12, 3.632, 3.483, 3.456
1954, 5, 12.47, 10.66, 8.297, 29.96, 25.01, 28.87, 3.034, 2.843, 2.819
1954, 6, 14.7, 12.68, 9.904, 92.44, 96.97, 88.63, 3.557, 3.353, 3.322
1954, 7, 22.14, 20.03, 17.1, 16.21, 13.45, 12.28, 2.399, 2.255, 2.282
1954, 8, 19.35, 17.07, 14, 49.42, 55.61, 63.6, 2.343, 2.205, 2.198
1954, 9, 14.33, 12.19, 9.966, 56.06, 52.09, 54.23, 2.941, 2.73, 2.692
1954, 10, 9.117, 6.921, 4.338, 22.92, 16.24, 15.66, 3.557, 3.353, 3.283
1954, 11, 8, 6.26, 3.503, 0.3746, 6.233, 7.527, 4.174, 3.801, 3.692
1954, 12, 1.859, 0.1165, -2.358, 0.8558, 1.955, 3.766, 4.846, 4.331, 4.169
1955, 1, -2.98, -3.773, -5.687, 6.857, 8.44, 10.05, 4.249, 3.826, 3.672
1955, 2, -5.586, -6.318, -8.391, 11.61, 19.94, 32.71, 4.062, 3.811, 3.72
1955, 3, -4.097, -5.395, -7.624, 14.08, 27.15, 37.1, 4.66, 4.342, 4.244
1955, 4, 5.953, 4.144, 1.412, 46.79, 34.78, 36.53, 4.024, 3.674, 3.581
1955, 5, 10.98, 9.063, 6.489, 105.3, 86.92, 86.8, 3.202, 2.975, 2.938
1955, 6, 16.93, 14.96, 12.12, 36.74, 53, 62.38, 3.053, 2.888, 2.878
1955, 7, 20.1, 18.01, 15.27, 74.92, 91.61, 84.09, 2.773, 2.608, 2.588
1955, 8, 20.84, 18.82, 15.94, 1.595, 2.19, 2.857, 2.735, 2.556, 2.545
1955, 9, 13.77, 12.08, 9.831, 3.406, 7.406, 11.45, 3.128, 2.973, 2.939
1955, 10, 11.35, 9.793, 7.272, 8.269, 8.98, 13.44, 4.23, 4.036, 3.994
1955, 11, -6.144, -6.937, -8.689, 36.41, 36.2, 43.06, 4.118, 3.857, 3.789
1955, 12, -6.144, -6.031, -7.915, 9.995, 29.35, 41.75, 4.024, 3.728, 3.624
1956, 1, -6.516, -6.376, -7.994, 9.857, 15.43, 20.07, 3.371, 3.232, 3.177
1956, 2, -4.655, -5.27, -7.481, 8.867, 12.74, 24.49, 4.846, 4.527, 4.415
1956, 3, 1.486, 0.3802, -2.143, 8.414, 17.42, 21.25, 4.772, 4.387, 4.276
1956, 4, 6.325, 4.948, 2.75, 20.01, 23.27, 27.72, 3.296, 3.132, 3.088
1956, 5, 13.02, 11.14, 8.73, 42.72, 39.05, 46.57, 2.997, 2.825, 2.797
1956, 6, 18.61, 16.41, 13.32, 81.2, 71.92, 65.71, 3.744, 3.545, 3.536
1956, 7, 21.4, 19.48, 16.53, 55.86, 59.05, 58.99, 2.399, 2.28, 2.288
1956, 8, 18.98, 16.79, 14.2, 0, 40.56, 67.16, 2.717, 2.639, 2.649
1956, 9, 16, 13.92, 11.54, 15.62, 12.89, 15.58, 3.352, 3.197, 3.176
1956, 10, 9.489, 7.608, 5.253, 14.86, 21.53, 25.53, 4.323, 3.972, 3.895
1956, 11, 5.022, 2.941, -0.1799, 4.788, 5.658, 9.162, 4.958, 4.413, 4.212
1956, 12, -0.7469, -1.448, -3.436, 13.95, 16.09, 23.1, 6.061, 5.494, 5.331
1957, 1, -13.03, -13.35, -14.91, 26.8, 25.32, 29.19, 3.894, 3.487, 3.355
