# Created by WEAP: 2/19/2020 9:57:07 AM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Columbia (3,603,734 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (559,128 ha),  1000 - 2000 m (2,417,079 ha),  2000 - 3000 m (627,132 ha),  3000 - 4000 m (395 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 0 to 1000 m, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, T_mean[C]:Elevation 3000 to 4000 m, Precip[mm/month]:Elevation 0 to 1000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 3000 to 4000 m, Wind[m/sec]:Elevation 0 to 1000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 3000 to 4000 m

1948, 1, -5.295, -6.936, -8.802, -9.595, 63.67, 60.74, 54.96, 48.26, 2.991, 3.183, 3.556, 3.939
1948, 2, -6.043, -8.627, -12.48, -14.55, 115.3, 134.3, 181.4, 191.8, 3.566, 3.594, 3.622, 3.667
1948, 3, -2.227, -4.825, -8.547, -10.87, 38.63, 40.21, 39.96, 35.56, 2.796, 2.882, 3.052, 3.217
1948, 4, 3.33, 0.7895, -3.014, -5.398, 70.08, 68.5, 70.33, 63.29, 2.766, 2.81, 2.872, 2.951
1948, 5, 9.062, 6.957, 4.113, 2.561, 87.43, 87.73, 86.6, 93.1, 3.106, 3.192, 3.37, 3.501
1948, 6, 13.98, 11.74, 8.699, 6.934, 97.01, 94.64, 87.76, 86.48, 2.19, 2.272, 2.453, 2.59
1948, 7, 14.42, 12.25, 9.186, 7.251, 74.2, 78.6, 97.33, 117.1, 2.273, 2.364, 2.562, 2.715
1948, 8, 14.26, 12.14, 9.115, 7.353, 30.3, 35.95, 51.49, 65.79, 2.515, 2.603, 2.787, 2.915
1948, 9, 11.23, 9.182, 6.343, 4.762, 14.67, 15.95, 21.39, 21.81, 2.666, 2.732, 2.886, 2.995
1948, 10, 5.496, 3.653, 1.363, 0.3535, 29.02, 26.48, 23.69, 14.73, 2.51, 2.628, 2.886, 3.132
1948, 11, -1.16, -3.281, -6.341, -7.789, 79.62, 74.7, 67.37, 51.15, 3.655, 3.78, 4.007, 4.224
1948, 12, -9.775, -12.14, -15.45, -17.21, 78.46, 71.08, 59.15, 39.45, 2.789, 2.883, 3.043, 3.266
1949, 1, -13.93, -15.72, -17.62, -18.31, 36.87, 41.87, 48.2, 47.59, 2.552, 2.694, 2.97, 3.268
1949, 2, -7.826, -10.35, -14.03, -15.93, 129.7, 136.6, 155.7, 141.2, 3.139, 3.154, 3.156, 3.217
1949, 3, -1.163, -3.355, -6.257, -7.818, 61.85, 59.29, 58.68, 49.89, 2.223, 2.261, 2.332, 2.423
1949, 4, 6.361, 4.135, 0.9619, -0.6639, 27.4, 29.42, 35.63, 40.39, 2.563, 2.633, 2.761, 2.922
1949, 5, 10.59, 8.334, 5.165, 3.31, 50.1, 49.47, 48.22, 46.78, 2.245, 2.307, 2.441, 2.564
1949, 6, 11.99, 9.669, 6.318, 4.315, 43.8, 48.91, 66.22, 76.02, 2.854, 2.893, 2.957, 3.024
1949, 7, 15.84, 13.55, 10.06, 8.069, 26.82, 28.56, 32.77, 33.44, 2.551, 2.631, 2.813, 2.927
1949, 8, 15.58, 13.38, 10.13, 8.227, 19.89, 21.18, 24.15, 27.71, 2.118, 2.161, 2.267, 2.325
1949, 9, 12.03, 9.954, 7.22, 5.759, 28.85, 30.18, 32.42, 37.5, 2.55, 2.56, 2.564, 2.596
1949, 10, 3.807, 1.715, -1.063, -2.428, 75.63, 72.07, 65.28, 46.46, 3.301, 3.399, 3.574, 3.729
1949, 11, 1.824, 0.05426, -2.24, -2.951, 51.46, 48.86, 52, 56.27, 2.844, 2.955, 3.153, 3.396
1949, 12, -6.454, -9.104, -13.24, -15.66, 127.1, 135.7, 154.2, 157, 3.564, 3.596, 3.613, 3.664
1950, 1, -17.26, -20.18, -24.58, -27.37, 144.7, 145.2, 147.8, 137.8, 2.958, 2.998, 3.04, 3.102
1950, 2, -4.374, -6.311, -8.789, -9.931, 86.8, 89.19, 108, 111.2, 3.306, 3.412, 3.621, 3.818
1950, 3, -1.816, -4.314, -7.969, -10.3, 100.1, 94.73, 94.04, 79.42, 3.045, 3.079, 3.107, 3.171
1950, 4, 3.171, 0.7985, -2.716, -4.658, 36.75, 38.61, 44.24, 44.08, 2.941, 2.975, 3.026, 3.11
1950, 5, 7.978, 5.661, 2.423, 0.5809, 13.27, 15.14, 18.99, 22.53, 2.941, 2.997, 3.084, 3.175
1950, 6, 12.07, 9.892, 6.964, 5.254, 47.62, 51.46, 52.53, 66.54, 2.39, 2.419, 2.443, 2.47
1950, 7, 16.28, 13.94, 10.43, 8.286, 45.6, 50.08, 61.52, 67.2, 2.28, 2.307, 2.359, 2.385
1950, 8, 15.55, 13.1, 9.403, 7.228, 40.57, 44.92, 55.36, 58.59, 2.352, 2.372, 2.402, 2.4
1950, 9, 12.89, 10.65, 7.636, 5.748, 14.91, 15.44, 15.17, 13.6, 2.514, 2.553, 2.631, 2.702
1950, 10, 5.266, 3.084, -0.162, -1.959, 161.2, 152.7, 147.1, 124.9, 3.223, 3.297, 3.431, 3.557
1950, 11, -2.007, -4.535, -8.434, -10.77, 85.95, 93.26, 113.8, 120.8, 3.241, 3.347, 3.552, 3.719
1950, 12, -2.891, -5.009, -7.886, -9.389, 75.98, 73.06, 71.99, 63.6, 2.84, 2.932, 3.092, 3.312
1951, 1, -6.888, -9.462, -13.33, -15.74, 110.8, 108.9, 110.2, 99.81, 3.063, 3.15, 3.302, 3.523
1951, 2, -5.087, -7.647, -11.63, -13.69, 111.2, 110.9, 110.4, 93.08, 2.721, 2.773, 2.839, 2.97
1951, 3, -3.656, -6.29, -10.19, -12.59, 54.63, 53.78, 51.77, 45.66, 2.923, 3.007, 3.163, 3.323
1951, 4, 4.532, 2.046, -1.547, -3.587, 25.37, 32.87, 46.71, 36.98, 2.436, 2.494, 2.607, 2.752
1951, 5, 8.876, 6.648, 3.511, 1.855, 80.67, 88.61, 106.8, 121.3, 3.109, 3.128, 3.136, 3.167
1951, 6, 11.16, 8.667, 5.187, 2.919, 63.25, 75.87, 105.9, 143.6, 2.176, 2.253, 2.428, 2.581
1951, 7, 17.02, 14.69, 11.22, 8.99, 31.98, 38.99, 57.54, 80.65, 2.357, 2.391, 2.464, 2.51
1951, 8, 15.21, 12.62, 8.719, 6.241, 122.7, 129.9, 143.9, 140.5, 2.134, 2.195, 2.311, 2.432
1951, 9, 10.42, 8.104, 4.857, 2.929, 61.37, 63.86, 68.22, 70.59, 2.624, 2.667, 2.751, 2.866
1951, 10, 4.357, 2.11, -1.04, -2.851, 109.1, 106.7, 101.7, 96.3, 2.587, 2.627, 2.704, 2.782
1951, 11, -1.899, -4.08, -7.153, -8.646, 46.81, 45.03, 45.42, 38.74, 2.862, 2.956, 3.132, 3.31
1951, 12, -9.458, -11.92, -15.41, -17.32, 99.79, 96.13, 89.13, 76.15, 3.027, 3.13, 3.317, 3.525
1952, 1, -7.818, -10.08, -13.26, -15.03, 92.08, 83.66, 76.41, 60.05, 3.381, 3.522, 3.792, 4.014
1952, 2, -3.578, -5.702, -8.683, -10.18, 49.49, 56.25, 73.87, 79.87, 2.495, 2.637, 2.911, 3.18
1952, 3, -0.9943, -3.469, -7.126, -9.397, 28.38, 29.23, 34.29, 33.4, 2.421, 2.48, 2.601, 2.73
1952, 4, 6.179, 3.89, 0.6109, -1.132, 35.09, 37.07, 46.22, 51, 2.351, 2.414, 2.547, 2.713
1952, 5, 8.949, 6.741, 3.616, 2.049, 32.24, 35.6, 47.06, 53.63, 2.559, 2.605, 2.696, 2.754
1952, 6, 11.9, 9.665, 6.446, 4.722, 98.96, 105.3, 121.7, 142.8, 3.02, 3.065, 3.143, 3.186
1952, 7, 15.69, 13.42, 10.21, 8.338, 12.41, 23.29, 47.54, 72.65, 2.551, 2.601, 2.697, 2.759
1952, 8, 15.69, 13.3, 9.821, 7.768, 23.89, 29.76, 39.91, 49.63, 2.499, 2.525, 2.582, 2.604
1952, 9, 13.31, 11.04, 7.816, 5.932, 18.26, 20.17, 25.51, 30.18, 2.591, 2.649, 2.772, 2.886
1952, 10, 8.155, 6.185, 3.628, 2.413, 7.809, 7.997, 8.075, 8.972, 2.053, 2.138, 2.315, 2.5
1952, 11, -2.403, -4.523, -7.507, -8.856, 17.53, 15.7, 13.04, 8.639, 2.163, 2.337, 2.697, 3.047
1952, 12, -3.509, -5.566, -8.448, -10.06, 48.28, 40.52, 28.92, 17.45, 2.761, 2.862, 3.05, 3.271
1953, 1, -0.3295, -2.948, -7.224, -10.17, 173, 178.7, 186.1, 174.9, 4.433, 4.478, 4.546, 4.54
1953, 2, -1.799, -3.954, -6.938, -8.383, 68.63, 72.7, 78.02, 65.74, 3.113, 3.29, 3.655, 3.963
1953, 3, 0.8699, -1.519, -5.05, -7.181, 45.16, 43.89, 45.29, 45.97, 2.969, 3.026, 3.122, 3.229
1953, 4, 3.35, 0.6569, -3.41, -5.873, 61.79, 69.75, 89.77, 107.3, 2.72, 2.691, 2.592, 2.555
1953, 5, 8.509, 6.299, 3.389, 1.828, 46.92, 47.62, 48.16, 49.28, 2.845, 2.9, 3.001, 3.061
1953, 6, 10.83, 8.651, 5.718, 4.093, 76.42, 77.12, 83.86, 87.6, 2.492, 2.538, 2.611, 2.666
1953, 7, 15.43, 13.26, 10.21, 8.452, 24.26, 28.88, 42.97, 52.54, 2.333, 2.396, 2.544, 2.649
1953, 8, 15.94, 13.68, 10.46, 8.536, 69.32, 68.29, 71.73, 64.46, 2.147, 2.231, 2.41, 2.549
1953, 9, 11.23, 9.078, 5.945, 4.335, 18.94, 24.56, 37.47, 46.04, 2.878, 2.952, 3.114, 3.238
1953, 10, 7.482, 5.625, 3.179, 2.098, 21.91, 21.1, 22.99, 19.86, 2.692, 2.803, 3.047, 3.225
1953, 11, 0.814, -1.323, -4.185, -5.577, 54.13, 60.28, 80.85, 93.01, 2.939, 3.04, 3.239, 3.447
1953, 12, -1.948, -3.944, -6.675, -8.016, 76.4, 77.18, 82.57, 84.87, 3.911, 4.039, 4.272, 4.532
1954, 1, -8.214, -10.9, -14.94, -17.34, 201, 197.5, 197, 186.5, 3.4, 3.435, 3.498, 3.564
1954, 2, -1.465, -3.342, -5.638, -6.68, 99.16, 106.6, 128.1, 126.2, 4.043, 4.243, 4.676, 4.993
1954, 3, -2.399, -4.875, -8.355, -10.44, 57.75, 59.92, 66.12, 69.47, 2.515, 2.554, 2.626, 2.735
1954, 4, 1.823, -0.9854, -5.388, -8.17, 68.74, 78.49, 96.96, 111.4, 3.19, 3.258, 3.387, 3.485
1954, 5, 9.189, 6.846, 3.447, 1.487, 39.24, 41.84, 54.18, 64.75, 2.671, 2.706, 2.773, 2.828
