# Created by WEAP: 8/4/2020 8:37:58 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: Lwr Coolee Interior (1,144,723 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,144,723 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Tavg[C]:Elevation 0 to 1000 m, wind[m/s]:Elevation 0 to 1000 m
1978, 4, 37.81, 10.15, 2.79
1978, 5, 23.76, 13.46, 2.733
1978, 6, 9.064, 19.82, 1.727
1978, 7, 24.35, 22.82, 1.967
1978, 8, 24.52, 21.15, 1.988
1978, 9, 14.06, 16.01, 1.994
1978, 10, 0.8992, 10.77, 2.019
1978, 11, 20.36, 0.1772, 2.896
1978, 12, 15.23, -4.569, 3.127
1979, 1, 15.22, -9.868, 2.506
1979, 2, 33.84, -0.5573, 3.24
1979, 3, 13.6, 7.093, 2.701
1979, 4, 15.64, 9.951, 2.202
1979, 5, 11.25, 16, 1.84
1979, 6, 9.116, 19.85, 2.134
1979, 7, 8.404, 23.44, 2.286
1979, 8, 18.41, 22.73, 2.022
1979, 9, 18.9, 19.38, 1.774
1979, 10, 26.26, 12.68, 2.064
1979, 11, 31.4, 0.6109, 2.575
1979, 12, 36.2, 1.642, 4.036
1980, 1, 37.97, -5.797, 3.374
1980, 2, 54, 0.7306, 2.969
1980, 3, 14.89, 5.414, 3.136
1980, 4, 27.22, 12.43, 2.526
1980, 5, 52.16, 15.07, 2.322
1980, 6, 23.06, 16.7, 2.063
1980, 7, 1.858, 22.23, 1.997
1980, 8, 11.26, 20.11, 2.433
1980, 9, 20.51, 17.34, 2.129
1980, 10, 17.41, 11.14, 2.008
1980, 11, 27.94, 4.035, 2.989
1980, 12, 52.25, 1.18, 3.32
