# Created by WEAP: 3/19/2020 3:28:52 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Middle Wind (3,078,814 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (2,075,869 ha),  2000 - 3000 m (821,427 ha),  3000 - 4000 m (181,518 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, T_mean[C]:Elevation 3000 to 4000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 3000 to 4000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 3000 to 4000 m

1948, 1, -3.73, -7.109, -9.533, 20.37, 35.44, 41.82, 4.398, 4.16, 3.929
1948, 2, -5.429, -8.764, -10.49, 7.652, 22.87, 35.26, 3.888, 3.749, 3.628
1948, 3, -2.087, -6.628, -9.17, 8.078, 17.23, 22.07, 3.564, 3.442, 3.323
1948, 4, 6.936, 1.978, -1.041, 24.62, 38.64, 44.82, 3.726, 3.645, 3.583
1948, 5, 12.57, 7.561, 4.711, 27.43, 29.7, 29.85, 3.045, 2.95, 2.866
1948, 6, 16.29, 11.43, 8.784, 57.85, 70.65, 68.04, 2.185, 2.112, 2.032
1948, 7, 19.63, 14.93, 12.29, 31.72, 34.55, 29.67, 2.563, 2.475, 2.395
1948, 8, 19.59, 15.22, 12.64, 13.51, 21.85, 23.86, 2.579, 2.522, 2.473
1948, 9, 15.71, 11.19, 8.208, 20.03, 24.17, 24.51, 2.764, 2.682, 2.6
1948, 10, 9.077, 4.738, 2.2, 6.305, 11.05, 14.11, 2.922, 2.796, 2.669
1948, 11, 0.03692, -4.642, -7.675, 8.239, 19.98, 27.42, 4.456, 4.283, 4.116
1948, 12, -6.319, -9.697, -11.8, 6.475, 23.92, 38.64, 4.362, 4.175, 4.015
1949, 1, -11.66, -15.43, -17.12, 20.05, 38.13, 45.11, 3.824, 3.607, 3.388
1949, 2, -7.083, -10.12, -11.73, 4.286, 15.37, 24.97, 4.658, 4.494, 4.356
1949, 3, -0.2653, -4.674, -6.97, 18.12, 28.66, 32.81, 2.777, 2.659, 2.536
1949, 4, 9.807, 4.889, 1.967, 16.06, 24.84, 25.74, 3.097, 2.98, 2.87
1949, 5, 12.82, 8.438, 5.852, 38.17, 51.57, 53.43, 2.511, 2.438, 2.36
1949, 6, 15.4, 11.07, 8.589, 39.55, 53.06, 59.32, 2.875, 2.824, 2.787
1949, 7, 20.4, 15.53, 12.55, 11.96, 14.79, 12.15, 2.401, 2.382, 2.367
1949, 8, 20.55, 15.68, 12.61, 3.671, 10.13, 14.44, 2.35, 2.273, 2.196
1949, 9, 13.87, 9.29, 6.63, 24.76, 35.58, 38.8, 2.728, 2.622, 2.518
1949, 10, 5.291, 1.311, -0.8922, 33.3, 40.13, 44.08, 3.542, 3.418, 3.277
1949, 11, 6.934, 2.989, 0.4431, 3.753, 7.653, 10.2, 4.115, 3.913, 3.706
1949, 12, -3.758, -7.364, -8.958, 7.388, 19.39, 27.5, 4.557, 4.373, 4.201
1950, 1, -11.07, -13.95, -14.74, 11.53, 37.05, 58.18, 4.35, 4.277, 4.243
1950, 2, -0.06931, -3.972, -6.327, 3.242, 10.93, 16.17, 4.119, 3.915, 3.735
1950, 3, -1.076, -5.458, -7.679, 13.03, 26.35, 31.61, 3.925, 3.793, 3.667
1950, 4, 4.989, 0.3819, -2.23, 29.41, 49.69, 60.7, 3.37, 3.288, 3.198
1950, 5, 8.599, 4.491, 1.971, 30.73, 34.27, 35.1, 3.117, 3.03, 2.937
1950, 6, 15, 10.03, 7.238, 38.34, 48.63, 47.33, 2.92, 2.825, 2.725
1950, 7, 17.72, 13.02, 10.22, 25.42, 41.37, 46.5, 2.485, 2.379, 2.281
1950, 8, 18.04, 13.3, 10.54, 12.37, 17.1, 16.6, 2.281, 2.222, 2.172
1950, 9, 12.61, 7.92, 5.305, 51.43, 60.75, 62.14, 2.548, 2.418, 2.274
1950, 10, 10.72, 6.136, 3.5, 4.823, 10.26, 15.66, 3.776, 3.696, 3.628
1950, 11, 0.06862, -3.656, -5.626, 14.37, 25.74, 32.08, 4.018, 3.929, 3.858
1950, 12, -0.7957, -3.298, -5.103, 7.826, 18.79, 22.69, 4.102, 3.88, 3.676
1951, 1, -6.744, -9.644, -11.43, 8.065, 24.62, 37.94, 4.256, 4.079, 3.92
1951, 2, -1.652, -5.395, -7.562, 5.238, 11.84, 16.76, 4.069, 3.903, 3.758
1951, 3, -3.013, -7.166, -9.193, 10.61, 25.49, 35.05, 3.892, 3.745, 3.605
1951, 4, 4.786, 0.3967, -1.892, 21.4, 27.66, 32.89, 3.063, 2.951, 2.833
1951, 5, 11.88, 7.647, 5.206, 30.78, 33.19, 32.66, 3.295, 3.181, 3.065
1951, 6, 12.34, 7.841, 5.263, 36.05, 36.59, 36.33, 2.274, 2.255, 2.224
1951, 7, 19.49, 14.82, 12.09, 38.99, 45.92, 49.33, 2.403, 2.317, 2.23
1951, 8, 18.38, 13.71, 10.86, 21.37, 34.43, 41.94, 2.513, 2.458, 2.401
1951, 9, 11.69, 7.409, 5.139, 28.04, 40.13, 37.66, 3.062, 2.983, 2.903
1951, 10, 6.432, 2.009, -0.4279, 26.14, 40.96, 47.4, 3.124, 3.044, 2.978
1951, 11, 0.6354, -3.418, -5.904, 4.034, 7.507, 9.141, 4.076, 3.922, 3.781
1951, 12, -6.538, -9.746, -11.18, 8.562, 22.61, 32.43, 4.282, 4.148, 4.035
1952, 1, -5.704, -8.948, -10.75, 6.9, 21.21, 29.99, 4.576, 4.347, 4.143
1952, 2, -2.134, -6.2, -8.605, 9.267, 21.7, 28.23, 3.937, 3.759, 3.595
1952, 3, -1.825, -6.664, -9.263, 11.42, 16.12, 19.06, 3.207, 3.107, 3.013
1952, 4, 8.588, 4.007, 1.127, 22.47, 25.83, 25.42, 2.866, 2.761, 2.652
1952, 5, 11.99, 7.755, 5.223, 59.2, 70.81, 64.45, 2.692, 2.635, 2.591
1952, 6, 17.36, 12.66, 9.846, 22.85, 32.63, 38.19, 3.133, 3.063, 3.008
1952, 7, 19.5, 14.69, 11.75, 30.64, 35.33, 26.01, 2.6, 2.548, 2.488
1952, 8, 19.68, 14.71, 11.84, 23.22, 35.53, 37.8, 2.405, 2.368, 2.335
1952, 9, 16.14, 11.56, 8.81, 6.705, 8.011, 8.529, 2.702, 2.653, 2.606
1952, 10, 9.699, 5.829, 3.646, 2.616, 1.912, 1.121, 2.78, 2.653, 2.527
1952, 11, -0.5334, -4.747, -7.204, 8.255, 14.18, 16.02, 3.244, 3.031, 2.818
1952, 12, -1.429, -4.846, -6.933, 3.383, 8.078, 14.27, 4.244, 4.02, 3.806
1953, 1, 2.068, -1.685, -3.966, 8.758, 19.79, 27.04, 5.358, 5.145, 4.965
1953, 2, -0.8397, -5.243, -7.812, 16.36, 34.43, 42.71, 4.271, 4.086, 3.906
1953, 3, 2.919, -1.766, -4.523, 7.09, 14.35, 17.85, 4.324, 4.114, 3.902
1953, 4, 3.363, -1.068, -3.613, 44.73, 67.22, 76.19, 3.027, 2.969, 2.914
1953, 5, 9.074, 4.672, 2.122, 38.37, 43.95, 44.49, 3.648, 3.493, 3.342
1953, 6, 16.55, 11.66, 8.819, 28.91, 33.6, 32.74, 2.825, 2.78, 2.739
1953, 7, 21.88, 17.05, 14.14, 2.368, 4.043, 4.63, 2.321, 2.237, 2.145
1953, 8, 20.21, 15.25, 12.3, 19.65, 20.93, 18.99, 2.292, 2.207, 2.129
1953, 9, 15.95, 11.39, 8.695, 15.33, 18.93, 19.99, 3.068, 2.982, 2.895
1953, 10, 10.92, 6.498, 3.858, 16.3, 22.41, 21.44, 3.205, 3.079, 2.951
1953, 11, 4.508, 0.5365, -1.951, 9.371, 16.98, 20.36, 4.189, 4.036, 3.895
1953, 12, -0.6566, -4.618, -7.136, 7.071, 16.09, 21.63, 4.981, 4.691, 4.415
1954, 1, -4.589, -8.664, -10.09, 13.2, 30.36, 43, 4.413, 4.31, 4.228
1954, 2, 3.633, -0.5016, -3.48, 6.936, 20.25, 28.09, 5.025, 4.755, 4.498
1954, 3, -2.683, -6.762, -8.937, 27.1, 51.3, 64.17, 3.458, 3.345, 3.238
1954, 4, 5.822, 1.585, -0.8615, 16.21, 26.1, 36.34, 3.739, 3.669, 3.623
1954, 5, 10.6, 6.486, 4.218, 23.91, 26.23, 23.83, 2.838, 2.725, 2.61
1954, 6, 15.17, 10.27, 7.39, 31.66, 36.77, 44.52, 3.208, 3.109, 3.018
1954, 7, 22.23, 17.52, 14.88, 15.97, 23.47, 27.52, 2.421, 2.363, 2.31
1954, 8, 19.45, 14.31, 11.25, 12.77, 17.04, 18.12, 2.363, 2.353, 2.347
1954, 9, 14.97, 10.3, 7.571, 11.08, 14.7, 17.39, 2.911, 2.834, 2.771
1954, 10, 8.014, 3.62, 1.122, 10.28, 12.34, 11.87, 3.44, 3.313, 3.181
1954, 11, 5.843, 1.544, -1.102, 0.4879, 2.75, 3.372, 3.864, 3.691, 3.517
1954, 12, -0.1916, -4.29, -6.882, 1.826, 10.66, 17.35, 4.38, 4.076, 3.782
1955, 1, -2.655, -7.126, -9.841, 3.403, 6.891, 9.089, 4.184, 3.925, 3.679
1955, 2, -5.727, -9.531, -11.51, 18.71, 39, 44.49, 4.371, 4.206, 4.066
1955, 3, -3.461, -8.287, -10.88, 15.07, 26.71, 32.88, 4.586, 4.447, 4.314
1955, 4, 5.829, 1.099, -1.772, 30.31, 37.72, 35.61, 4.078, 3.94, 3.826
1955, 5, 11.44, 7.16, 4.534, 45.68, 54.42, 52.68, 3.135, 3.032, 2.933
1955, 6, 15.32, 10.7, 7.942, 48.5, 53.51, 53.43, 2.756, 2.653, 2.54
1955, 7, 21.1, 16.2, 13.29, 20.21, 24.03, 22.64, 2.706, 2.594, 2.481
1955, 8, 21.31, 16.25, 13.22, 4.303, 8.468, 10, 2.206, 2.151, 2.089
1955, 9, 13.98, 9.346, 6.629, 19.55, 23.07, 25.1, 3.283, 3.165, 3.06
1955, 10, 10.66, 6.204, 3.422, 9.131, 18.94, 23.92, 3.999, 3.867, 3.747
1955, 11, -4.547, -7.868, -9.643, 15, 28.92, 38.72, 4.124, 4.032, 3.937
1955, 12, -4.191, -7.397, -9.076, 23.45, 51.64, 68.65, 4.267, 4.12, 4.014
1956, 1, -4.135, -8.007, -9.753, 8.116, 28.51, 46.27, 3.479, 3.366, 3.279
1956, 2, -5.328, -9.369, -12.08, 3.304, 8.243, 12.43, 4.695, 4.465, 4.258
1956, 3, 0.6139, -4.307, -7.202, 10.33, 21.15, 29.18, 4.609, 4.366, 4.136
1956, 4, 4.66, 0.3555, -1.822, 25.7, 45.07, 59.3, 3.163, 3.038, 2.908
1956, 5, 12.35, 7.763, 5.213, 33.22, 36.26, 32.96, 2.756, 2.654, 2.545
1956, 6, 18.77, 13.95, 11.22, 9.287, 18.03, 22.13, 3.08, 3.014, 2.95
1956, 7, 20.09, 15.16, 12.25, 11.74, 17.11, 16.1, 2.332, 2.235, 2.137
1956, 8, 18.43, 13.52, 10.53, 13.92, 21.06, 22.01, 2.421, 2.339, 2.254
1956, 9, 15.27, 10.84, 8.225, 4.812, 9.153, 10.89, 3.051, 2.988, 2.946
1956, 10, 9.959, 5.212, 2.423, 6.357, 15.03, 19.82, 3.7, 3.577, 3.463
1956, 11, 1.013, -3.448, -6.244, 13.4, 21.31, 22.41, 4.659, 4.361, 4.045
1956, 12, -0.9399, -4.377, -6.689, 4.522, 10.93, 15.31, 5.245, 4.893, 4.549
1957, 1, -10.24, -13.26, -14.86, 6.395, 13.82, 20.13, 3.754, 3.542, 3.337
1957, 2, -2.275, -5.48, -7.122, 5.065, 14.85, 23.19, 4.343, 4.164, 3.988
1957, 3, 1.205, -3.525, -6.213, 11.8, 21.47, 25.27, 3.485, 3.365, 3.255
1957, 4, 4.163, -0.2242, -2.555, 49.93, 61.78, 61.87, 3.368, 3.268, 3.177
1957, 5, 11.5, 7.387, 4.959, 74.74, 87.05, 87.46, 2.839, 2.723, 2.605
1957, 6, 15.59, 11.04, 8.429, 67.95, 75.72, 67.96, 2.754, 2.668, 2.569
1957, 7, 21.22, 15.92, 12.71, 7.7, 11.32, 12.13, 2.752, 2.703, 2.669
1957, 8, 20.2, 15.2, 12.28, 16.4, 21.7, 24.43, 2.608, 2.547, 2.485
1957, 9, 13.22, 9.126, 6.717, 20.55, 25.47, 24.27, 2.839, 2.73, 2.62
1957, 10, 7.469, 3.127, 0.7125, 27.07, 31.52, 30.67, 2.796, 2.703, 2.62
1957, 11, -0.5383, -4.547, -7.046, 17.42, 22.48, 22.51, 4.114, 3.926, 3.724
1957, 12, 1.933, -2.128, -4.993, 1.658, 8.116, 12.83, 5.524, 5.214, 4.909
1958, 1, 0.2829, -3.669, -6.363, 4.003, 11.09, 14.02, 4.496, 4.165, 3.837
1958, 2, -1.453, -4.571, -5.911, 14.06, 18.4, 21.19, 3.671, 3.551, 3.453
1958, 3, -0.6785, -5.299, -7.804, 12.71, 24.05, 30.14, 2.926, 2.834, 2.763
1958, 4, 5.228, 0.4438, -2.329, 32.62, 52.15, 55.81, 3.49, 3.39, 3.291
1958, 5, 15.2, 10.7, 7.929, 22.51, 27.48, 31.54, 3.061, 2.953, 2.862
1958, 6, 15.45, 11.01, 8.699, 55.18, 63.97, 64.82, 2.893, 2.802, 2.719
1958, 7, 17.72, 13.08, 10.36, 44.82, 57.44, 57, 2.484, 2.418, 2.35
1958, 8, 20.7, 15.68, 12.69, 12.18, 25.16, 30.33, 2.502, 2.401, 2.295
