# Created by WEAP: 2/25/2020 10:25:43 AM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upper Missouri (9,565 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (8,566 ha),  2000 - 3000 m (999 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m

1948, 1, -2.174, -3.373, 36.06, 36.58, 4.027, 4.078
1948, 2, -5.925, -7.424, 8.622, 8.251, 3.881, 3.89
1948, 3, -3.856, -5.055, 27.4, 26.76, 3.146, 3.171
1948, 4, 5.306, 4.207, 9.784, 10.01, 3.097, 3.097
1948, 5, 10.16, 8.961, 101.9, 100.4, 2.793, 2.801
1948, 6, 15.2, 13.9, 142.3, 143.5, 2.121, 2.129
1948, 7, 17.82, 16.62, 39.62, 41.69, 2.2, 2.2
1948, 8, 18.38, 17.18, 45, 43.71, 2.376, 2.376
1948, 9, 13.53, 12.43, 15.5, 16.03, 2.505, 2.513
1948, 10, 8.853, 7.653, 3.712, 3.599, 2.713, 2.73
1948, 11, 1.373, 0.07333, 16.36, 16.16, 4.346, 4.372
1948, 12, -8.906, -10.21, 11.99, 13.32, 3.771, 3.813
1949, 1, -13.39, -14.69, 29.42, 30.7, 3.323, 3.365
1949, 2, -7.972, -9.271, 15.9, 15.97, 3.77, 3.787
1949, 3, -1.061, -2.461, 26.12, 26.23, 2.57, 2.595
1949, 4, 8.853, 7.653, 19.01, 19.41, 2.825, 2.833
1949, 5, 11.84, 10.64, 63.07, 65.52, 2.28, 2.28
1949, 6, 15.76, 14.46, 29.11, 31.16, 2.792, 2.784
1949, 7, 18.76, 17.56, 25.17, 28.9, 2.36, 2.36
1949, 8, 19.14, 18.04, 8.463, 8.511, 2.008, 1.999
1949, 9, 12.96, 11.66, 25.45, 25.13, 2.68, 2.68
1949, 10, 4.923, 3.624, 52.44, 51.84, 3.818, 3.844
1949, 11, 7.171, 5.971, 1.358, 1.511, 3.834, 3.869
1949, 12, -6.855, -8.254, 18.76, 17.96, 4.218, 4.235
1950, 1, -18.62, -19.92, 16.04, 15.81, 3.609, 3.618
1950, 2, 1.186, -0.1136, 1.177, 1.364, 3.738, 3.764
1950, 3, -1.622, -3.021, 53.71, 53.87, 3.577, 3.586
1950, 4, 3.989, 2.69, 34.83, 34.34, 3.065, 3.065
1950, 5, 9.035, 7.736, 23.22, 23.55, 3.209, 3.209
1950, 6, 13.33, 12.03, 87.42, 86.52, 2.857, 2.874
1950, 7, 17.82, 16.62, 38.96, 40.77, 2.312, 2.312
1950, 8, 17.07, 15.77, 46.19, 47.06, 2.376, 2.376
1950, 9, 12.21, 10.91, 25.9, 26.37, 2.584, 2.584
1950, 10, 8.479, 7.279, 3.297, 3.398, 3.481, 3.481
1950, 11, -1.618, -2.917, 39.02, 37.7, 3.609, 3.618
1950, 12, -1.239, -2.439, 16.63, 16.62, 3.691, 3.733
1951, 1, -8.159, -9.458, 11.25, 11.09, 3.706, 3.723
1951, 2, -4.416, -5.616, 25.04, 24.91, 3.53, 3.556
1951, 3, -6.303, -7.902, 34.1, 33.41, 3.482, 3.508
1951, 4, 3.802, 2.503, 59.89, 60.25, 2.713, 2.721
1951, 5, 10.72, 9.418, 41.08, 43.47, 3.401, 3.401
1951, 6, 11.28, 10.08, 85.77, 84.74, 2.296, 2.296
1951, 7, 18.94, 17.64, 59.37, 57.67, 2.168, 2.168
1951, 8, 16.14, 14.84, 66.75, 69.58, 2.328, 2.328
1951, 9, 10.71, 9.313, 53.35, 52.12, 2.841, 2.841
1951, 10, 4.923, 3.624, 39.29, 39.86, 2.745, 2.753
1951, 11, 0.8164, -0.3829, 11, 10.78, 3.61, 3.636
1951, 12, -9.098, -10.5, 45.27, 44.22, 3.657, 3.675
1952, 1, -8.724, -10.12, 8.188, 8.205, 3.898, 3.933
1952, 2, -2.557, -3.956, 19.09, 20.51, 3.323, 3.365
1952, 3, -3.113, -4.412, 25.64, 25.7, 2.633, 2.641
1952, 4, 8.483, 7.384, 8.029, 8.52, 2.617, 2.625
1952, 5, 11.66, 10.46, 65.04, 67.45, 2.44, 2.44
1952, 6, 15.02, 13.72, 37.09, 37.56, 3.161, 3.17
1952, 7, 18.01, 16.81, 23.15, 23.35, 2.584, 2.576
1952, 8, 17.63, 16.33, 58.57, 55.66, 2.344, 2.335
1952, 9, 15.02, 13.72, 9.86, 9.28, 2.68, 2.68
1952, 10, 9.035, 7.736, 17.55, 16.37, 2.537, 2.554
1952, 11, -0.127, -1.526, 21.28, 21.74, 2.906, 2.949
1952, 12, -1.613, -2.812, 3.11, 3.31, 3.546, 3.58
1953, 1, 0.4471, -0.6522, 33.76, 32.45, 4.714, 4.74
1953, 2, -1.057, -2.356, 48.87, 47.28, 3.787, 3.829
1953, 3, 1.564, 0.3646, 17.7, 18.22, 3.627, 3.669
1953, 4, 2.868, 1.568, 52.73, 51.33, 2.985, 2.985
1953, 5, 8.479, 7.279, 163.7, 166, 3.129, 3.146
1953, 6, 13.89, 12.59, 69.41, 75.02, 2.648, 2.648
1953, 7, 19.69, 18.49, 9.51, 8.874, 2.2, 2.2
1953, 8, 18.94, 17.64, 21.29, 20.84, 2.088, 2.088
1953, 9, 14.65, 13.45, 24.29, 24.09, 2.985, 2.985
1953, 10, 11.09, 9.791, 3.998, 4.067, 2.841, 2.858
1953, 11, 5.115, 3.915, 3.035, 3.273, 3.642, 3.668
1953, 12, -0.8656, -2.065, 9.675, 11.07, 4.747, 4.79
1954, 1, -11.71, -13.11, 62.19, 60.52, 3.689, 3.698
1954, 2, 3.059, 1.86, 18.76, 17.61, 4.523, 4.575
1954, 3, -3.673, -4.973, 38.04, 37.25, 2.985, 2.994
