# Created by WEAP: 3/19/2020 3:28:53 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: UprWest Missouri (4,397,008 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (2,185,225 ha),  2000 - 3000 m (2,197,689 ha),  3000 - 4000 m (14,094 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, T_mean[C]:Elevation 3000 to 4000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 3000 to 4000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 3000 to 4000 m

1948, 1, -3.44, -5.817, -6.624, 27.07, 25.77, 31.36, 3.44, 3.112, 3.159
1948, 2, -4.92, -6.058, -7.348, 19.35, 37.25, 48.47, 3.402, 3.158, 3.162
1948, 3, -2.876, -4.506, -5.683, 24.19, 30.81, 36.04, 2.862, 2.761, 2.78
1948, 4, 5.345, 2.924, 2.191, 21.4, 29.38, 35.34, 3.038, 3.055, 3.087
1948, 5, 10.59, 8.238, 7.651, 89.05, 80.88, 80.18, 2.448, 2.4, 2.4
1948, 6, 14.8, 12.59, 11.77, 130.6, 110.1, 121.2, 1.934, 1.898, 1.876
1948, 7, 16.74, 14.3, 13.63, 46.24, 42.24, 41.86, 2.055, 2.052, 2.035
1948, 8, 17.17, 14.49, 13.64, 38.67, 28.09, 36.13, 2.165, 2.153, 2.136
1948, 9, 13.19, 10.98, 10.44, 21.68, 28.81, 29.86, 2.315, 2.259, 2.25
1948, 10, 7.598, 5.523, 4.778, 7.263, 11.59, 12.59, 2.459, 2.338, 2.339
1948, 11, -0.07769, -2.98, -3.93, 23.6, 32.89, 39.14, 3.839, 3.563, 3.591
1948, 12, -8.775, -10.41, -10.87, 35.62, 61.08, 80.65, 3.485, 3.316, 3.344
1949, 1, -14.9, -16.92, -17.77, 27.22, 33.47, 44.75, 2.858, 2.623, 2.642
1949, 2, -6.658, -7.411, -8.598, 24.29, 37.88, 48.96, 3.691, 3.666, 3.694
1949, 3, -1.352, -2.935, -3.955, 22.16, 18.09, 19.3, 2.296, 2.179, 2.18
1949, 4, 8.004, 5.484, 4.935, 24.35, 19.01, 23.02, 2.547, 2.443, 2.442
1949, 5, 11.68, 9.443, 8.652, 73.27, 69.55, 76.97, 2.129, 2.107, 2.092
1949, 6, 14.43, 11.7, 10.73, 55.68, 45.79, 56.8, 2.548, 2.496, 2.478
1949, 7, 18.01, 15.48, 14.96, 14.65, 14.04, 14.78, 2.217, 2.229, 2.219
1949, 8, 18.65, 16.03, 15.35, 15.89, 16.77, 19.54, 1.916, 1.933, 1.92
1949, 9, 12.58, 10.72, 9.807, 36.79, 40.01, 46.07, 2.427, 2.292, 2.274
