# Created by WEAP: 2/27/2020 12:37:15 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upr Snake (154,941 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (144,254 ha),  2000 - 3000 m (10,687 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m

1948, 1, -0.1582, -1.464, 30.43, 27.31, 2.797, 2.783
1948, 2, 0.9566, -1.433, 23.92, 25.53, 3.183, 3.224
1948, 3, 2.003, -0.2261, 20.8, 18.7, 3.383, 3.443
1948, 4, 7.591, 5.27, 24.83, 27.26, 3.398, 3.423
1948, 5, 12.71, 10.47, 21.39, 22.55, 2.901, 2.933
1948, 6, 17.95, 15.07, 25, 29.11, 2.551, 2.564
1948, 7, 20.35, 17.81, 2.992, 4.563, 2.462, 2.451
1948, 8, 20.09, 17.56, 1.229, 1.457, 2.386, 2.387
1948, 9, 16.16, 13.82, 42.57, 46.56, 2.419, 2.385
1948, 10, 11.36, 9.03, 7.325, 9.835, 2.48, 2.475
1948, 11, 2.057, 0.09307, 40.49, 32.83, 3.244, 3.239
1948, 12, -3.987, -5.792, 47.28, 51.22, 3.75, 3.76
1949, 1, -9.721, -12.62, 21.28, 23.22, 3.096, 3.166
1949, 2, -1.553, -3.826, 48.83, 41.74, 3.891, 3.852
1949, 3, 3.453, 0.7121, 13.3, 17.03, 2.874, 2.934
1949, 4, 10.99, 8.372, 1.75, 2.272, 2.696, 2.706
1949, 5, 14.11, 11.24, 46.55, 47.34, 2.549, 2.559
1949, 6, 16.79, 13.87, 0, 0, 2.896, 2.908
1949, 7, 21.01, 18.27, 1.238, 1.769, 2.385, 2.33
1949, 8, 21.54, 18.9, 2.504, 0, 2.175, 2.149
1949, 9, 17.65, 15.32, 7.642, 7.67, 2.346, 2.34
1949, 10, 8.239, 6.247, 14.55, 18.77, 2.614, 2.587
1949, 11, 8.616, 6.815, 27.5, 26.35, 2.438, 2.409
1949, 12, -0.02657, -2.141, 14.34, 11.33, 3.603, 3.606
1950, 1, -4.213, -5.952, 77.5, 76.72, 4.237, 4.207
1950, 2, 0.6569, -1.662, 19.75, 12.14, 2.854, 2.842
1950, 3, 2.631, 0.6613, 54.79, 59.61, 3.43, 3.434
1950, 4, 7.335, 4.791, 9.994, 11.3, 3.331, 3.327
1950, 5, 10.74, 7.804, 15.18, 19.46, 2.857, 2.854
1950, 6, 15.78, 12.68, 11.19, 14.43, 2.696, 2.725
1950, 7, 21.42, 19.08, 9.81, 17.54, 2.264, 2.268
1950, 8, 20.04, 17.31, 8.404, 8.17, 2.046, 2.062
1950, 9, 15.75, 13.5, 27.72, 41.82, 2.14, 2.12
1950, 10, 12.29, 10.24, 24.37, 19.21, 3.142, 3.094
1950, 11, 5.423, 3.783, 37.56, 42.72, 3.235, 3.202
1950, 12, 3.423, 1.708, 52.37, 67.62, 2.724, 2.718
1951, 1, -2.587, -4.515, 28.23, 25.57, 3.564, 3.545
1951, 2, 1.427, -0.8644, 35.41, 37.39, 2.988, 2.954
1951, 3, 1.111, -0.9345, 17.52, 16.94, 3.458, 3.489
1951, 4, 9.094, 6.547, 41.18, 40.63, 3.024, 3.038
1951, 5, 13.24, 10.7, 27.82, 33.82, 3.123, 3.133
1951, 6, 15, 12.54, 8.507, 8.444, 2.571, 2.564
1951, 7, 22.36, 20.04, 8.475, 11.57, 2.558, 2.539
1951, 8, 19.93, 17.49, 21.86, 31.49, 2.261, 2.243
1951, 9, 16.01, 13.66, 0.1635, 0.2661, 2.684, 2.658
1951, 10, 8.837, 6.796, 35.72, 33.44, 2.942, 2.937
1951, 11, 2.641, 0.9103, 39.59, 35.72, 3.124, 3.114
1951, 12, -3.147, -4.586, 44.94, 34.19, 3.733, 3.73
1952, 1, -3.832, -5.633, 41.96, 32.18, 3.48, 3.513
1952, 2, -2.207, -4.714, 32.6, 29.13, 3.212, 3.252
1952, 3, -0.06214, -2.799, 31.11, 24.78, 3.574, 3.651
1952, 4, 9.084, 6.796, 13.87, 16.32, 3.028, 3.045
1952, 5, 13.79, 11.42, 18.96, 22.22, 2.986, 3.034
1952, 6, 16.98, 14.28, 38.3, 42.84, 2.763, 2.784
1952, 7, 20.41, 17.88, 18.89, 27.1, 2.315, 2.291
1952, 8, 20.38, 17.63, 2.513, 1.695, 2.196, 2.161
1952, 9, 17.41, 14.84, 0.6855, 0.7405, 2.201, 2.172
1952, 10, 13.42, 10.93, 0.08938, 0.04699, 2.12, 2.108
1952, 11, 1.031, -1.184, 9.838, 8.587, 2.258, 2.282
1952, 12, 0.8993, -0.6855, 49.53, 34.89, 3.484, 3.488
1953, 1, 3.979, 2.436, 54.69, 54.14, 4.023, 3.989
1953, 2, 2.492, 0.5017, 15.11, 19.29, 3.534, 3.591
1953, 3, 5.142, 3.215, 22.41, 23.48, 3.55, 3.559
1953, 4, 7.079, 4.632, 28.99, 36.18, 3.066, 3.099
1953, 5, 9.898, 7.344, 54.53, 68.02, 3.089, 3.122
1953, 6, 14.63, 11.97, 30.32, 38.55, 2.836, 2.855
1953, 7, 21.62, 18.74, 0.1796, 0, 2.074, 2.054
1953, 8, 20.17, 17.31, 1.446, 2.18, 2.178, 2.174
1953, 9, 17.64, 14.91, 2.877, 3.75, 2.312, 2.279
1953, 10, 12.05, 9.33, 8.447, 12.56, 2.95, 2.93
1953, 11, 7.274, 5.449, 18.82, 18.33, 3.41, 3.405
1953, 12, 0.5298, -1.254, 15.13, 17.9, 3.216, 3.215
1954, 1, 1.186, -0.2067, 25.68, 17.46, 3.625, 3.561
1954, 2, 4.306, 2.666, 17.42, 10.48, 3.068, 3.055
1954, 3, 2.509, 0.2527, 28.79, 33.71, 3.472, 3.513
1954, 4, 9.614, 7.185, 17.13, 20.68, 3.13, 3.096
1954, 5, 14.63, 11.97, 5.163, 5.199, 2.766, 2.784
1954, 6, 14.55, 12.06, 49.59, 61.42, 2.954, 2.98
1954, 7, 22.05, 19.81, 0.8402, 0, 2.164, 2.13
1954, 8, 18.25, 15.8, 0.7131, 0, 2.59, 2.6
1954, 9, 15.16, 13.02, 1.099, 2.091, 2.738, 2.742
