# Created by WEAP: 9/4/2020 10:29:29 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CO_NW_Fraser (47,375 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (17,895 ha),  3000 - 4000 m (29,481 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m

1970, 1, 69.53, 96.92, -10.41, -11.52, 4.084, 4.042
1970, 2, 48.46, 70.32, -7.78, -8.419, 3.155, 3.124
1970, 3, 68.8, 105.7, -7.581, -8.953, 3.21, 3.187
1970, 4, 76.57, 111.4, -4.192, -5.607, 3.373, 3.357
1970, 5, 16.82, 22.83, 5.737, 3.941, 2.19, 2.18
1970, 6, 57.85, 74.5, 9.654, 7.814, 2.396, 2.394
1970, 7, 27.79, 47.04, 13.17, 11.63, 1.394, 1.386
1970, 8, 44.87, 67.01, 13.19, 11.89, 1.474, 1.461
1970, 9, 87.12, 110.3, 6.63, 5.207, 2.692, 2.686
1970, 10, 62.3, 83.45, -0.7235, -2.141, 2.84, 2.83
1970, 11, 81.81, 112.5, -4.746, -5.872, 3.844, 3.827
1970, 12, 58.73, 78.07, -10.28, -10.49, 4.097, 4.063
1971, 1, 47.68, 72.44, -8.614, -10.11, 4.719, 4.669
1971, 2, 81.03, 116.4, -9.651, -10.94, 3.942, 3.924
1971, 3, 61.1, 88.15, -6.864, -8.026, 3.877, 3.863
1971, 4, 108.3, 157.2, -0.1391, -1.771, 2.647, 2.636
1971, 5, 51.02, 75.33, 4.199, 2.354, 2.582, 2.578
