# Created by WEAP: 4/13/2020 6:10:06 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\WEAP Areas\SWHydroSwitch\ClimateData\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: McKenzie (47,588 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (4,171 ha),  1000 - 2000 m (43,356 ha),  2000 - 3000 m (62 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 680.6, 764.9, 850.2, 0.1729, -1.317, -3.395, 3.394, 3.39, 3.39
1970, 2, 183, 201.1, 214.1, 3.684, 1.678, -0.6168, 2.291, 2.294, 2.269
1970, 3, 174, 190.7, 215.4, 3.804, 1.792, -0.4359, 2.332, 2.324, 2.3
1970, 4, 253.8, 278.5, 319.4, 3.677, 1.583, -0.6487, 2.857, 2.869, 2.844
1970, 5, 67.76, 68.28, 72.76, 10.59, 8.69, 6.492, 2.388, 2.382, 2.347
1970, 6, 54.25, 67.1, 82.1, 16.32, 14.37, 12.12, 2.351, 2.348, 2.299
1970, 7, 1.138, 3.75, 8.152, 18.72, 17.15, 15.23, 2.56, 2.55, 2.483
1970, 8, 1.565, 2.979, 3.252, 18.45, 16.78, 14.82, 2.425, 2.422, 2.363
1970, 9, 101, 128.5, 149.5, 11.66, 9.834, 7.806, 2.148, 2.147, 2.126
1970, 10, 246.8, 248.9, 276.2, 7.9, 5.983, 3.857, 2.367, 2.365, 2.346
1970, 11, 475.8, 514.7, 573.6, 3.421, 1.438, -0.9104, 3.085, 3.09, 3.073
1970, 12, 380, 426.7, 477.7, -1.575, -2.965, -4.966, 3.471, 3.477, 3.457
1971, 1, 596.1, 662.4, 748.9, -1.787, -2.686, -4.229, 3.133, 3.152, 3.135
1971, 2, 368.3, 404.7, 458.6, 0.3877, -1.024, -2.945, 2.81, 2.819, 2.802
1971, 3, 398, 437.5, 498.9, 0.139, -1.291, -3.249, 3.096, 3.092, 3.064
1971, 4, 131, 153.1, 178.6, 4.547, 3.035, 1.025, 2.451, 2.447, 2.439
1971, 5, 103.9, 104.1, 113.6, 9.891, 7.982, 5.874, 2.882, 2.88, 2.866
1971, 6, 95.13, 98.02, 99.52, 11.61, 9.716, 7.784, 1.935, 1.928, 1.903
1971, 7, 7.822, 11.32, 13.77, 19.01, 17.44, 15.54, 2.354, 2.345, 2.289
1971, 8, 47.67, 61.02, 70.08, 19.52, 17.68, 15.67, 2.385, 2.384, 2.324
1971, 9, 163.2, 181.1, 193.9, 12.11, 9.93, 7.698, 2.424, 2.415, 2.393
1971, 10, 168.8, 190.3, 215.5, 6.923, 5.146, 3.059, 2.064, 2.065, 2.06
1971, 11, 428.7, 450.2, 492.6, 2.458, 0.845, -1.093, 2.782, 2.785, 2.772
1971, 12, 424.6, 465.7, 526, -1.467, -3.127, -5.223, 3.607, 3.618, 3.619
1972, 1, 565.8, 616.1, 668.5, -2.144, -3.613, -5.555, 3.522, 3.541, 3.541
1972, 2, 468.6, 478.7, 523.7, 0.7455, -0.3744, -2.165, 3.289, 3.288, 3.265
1972, 3, 398, 419.2, 486.9, 3.771, 2.501, 0.7752, 2.454, 2.453, 2.427
1972, 4, 240.3, 259.4, 290.8, 4.282, 2.241, 0.004071, 2.649, 2.645, 2.634
1972, 5, 121.4, 129.1, 142.7, 11.45, 9.416, 7.178, 2.089, 2.086, 2.058
1972, 6, 32.83, 39.45, 43.01, 14.69, 12.52, 10.3, 2.437, 2.423, 2.366
1972, 7, 1.611, 3.176, 4.305, 19.29, 17.42, 15.36, 2.406, 2.399, 2.339
1972, 8, 15.95, 21.81, 24.07, 19.25, 17.3, 15.18, 2.359, 2.357, 2.311
1972, 9, 112.3, 122.1, 127.3, 12.38, 10.27, 8.214, 2.132, 2.125, 2.088
1972, 10, 78.83, 83.43, 95.61, 8.938, 6.76, 4.398, 1.791, 1.779, 1.77
1972, 11, 167.2, 187.6, 201.2, 3.936, 2.046, -0.1755, 2.427, 2.429, 2.397
1972, 12, 466.9, 477.6, 512.4, -2.89, -4.298, -6.517, 3.355, 3.36, 3.332
1973, 1, 251.8, 283.9, 308.2, -2.084, -3.511, -5.669, 3.274, 3.277, 3.237
1973, 2, 89.8, 103.5, 116.5, 3.124, 1.177, -1.229, 2.25, 2.251, 2.232
1973, 3, 158.3, 182.4, 212.6, 3.195, 1.061, -1.195, 2.392, 2.392, 2.38
1973, 4, 110.2, 124.8, 145.6, 7.091, 5.047, 2.837, 2.053, 2.045, 2.042
1973, 5, 84.61, 107.5, 126, 12.26, 10.48, 8.38, 2.229, 2.224, 2.202
1973, 6, 104, 123.9, 142.1, 14.09, 12.28, 10.27, 2.235, 2.229, 2.201
1973, 7, 5.845, 8.643, 10.7, 18.43, 16.93, 14.99, 2.465, 2.45, 2.417
1973, 8, 19.83, 24.53, 28.32, 17.17, 15.27, 13.16, 2.515, 2.504, 2.471
1973, 9, 163.9, 207.6, 239, 14.38, 12.44, 10.29, 2.184, 2.169, 2.147
1973, 10, 148, 182.7, 215.1, 8.455, 6.444, 4.286, 1.744, 1.741, 1.734
1973, 11, 737.4, 806.9, 899.1, 0.4587, -0.937, -2.924, 3.575, 3.565, 3.561
1973, 12, 517.9, 546, 588.9, 0.5683, -0.4661, -2.294, 3.38, 3.375, 3.351
1974, 1, 518.1, 620.4, 710, -2.316, -4.143, -6.439, 3.366, 3.375, 3.336
1974, 2, 425, 467.1, 516.5, 0.669, -0.8767, -2.83, 2.975, 2.973, 2.941
1974, 3, 381, 411.9, 467.8, 2.781, 1.214, -0.7598, 2.832, 2.818, 2.786
1974, 4, 205.5, 229.7, 265.7, 5.661, 3.759, 1.678, 2.532, 2.534, 2.519
1974, 5, 92.04, 107.3, 114.5, 8.98, 6.677, 4.432, 2.139, 2.131, 2.118
1974, 6, 73.41, 86, 98.3, 15.42, 13.64, 11.64, 2.785, 2.781, 2.732
1974, 7, 31.71, 41.55, 47.42, 17.09, 15.28, 13.16, 2.363, 2.359, 2.33
1974, 8, 11.67, 15.91, 19.11, 18.52, 16.79, 14.7, 2.499, 2.492, 2.456
1974, 9, 4.089, 6.837, 8.688, 17.8, 15.64, 13.35, 1.793, 1.784, 1.752
1974, 10, 52.86, 60.01, 68.47, 10.93, 8.745, 6.383, 1.653, 1.64, 1.629
1974, 11, 255.7, 266.2, 285.7, 4.117, 2.258, 0.1381, 2.862, 2.867, 2.844
1974, 12, 569.4, 553, 589.5, 0.8315, -0.7474, -2.913, 2.916, 2.923, 2.898
1975, 1, 440.2, 520.8, 605.7, -0.1194, -1.333, -3.247, 3.005, 3.017, 3.005
1975, 2, 401.6, 443.5, 511.4, 0.0453, -1.529, -3.688, 3.077, 3.069, 3.04
1975, 3, 371.2, 400.2, 456.8, 2.177, 0.05959, -2.261, 2.67, 2.658, 2.644
1975, 4, 114.7, 124.2, 139.9, 3.475, 1.369, -0.824, 2.633, 2.632, 2.629
1975, 5, 90.11, 92.79, 95.07, 9.617, 7.495, 5.284, 2.18, 2.171, 2.162
1975, 6, 52.79, 60.28, 65.75, 13.17, 10.93, 8.705, 2.694, 2.688, 2.66
