# Created by WEAP: 9/4/2020 10:29:33 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CO_SW_Alamosa (88,643 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (50,268 ha),  3000 - 4000 m (38,375 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m

1970, 1, 8.757, 19.41, -7.302, -9.056, 2.399, 2.308
1970, 2, 9.443, 51.27, -0.9784, -4.456, 2.071, 2.027
1970, 3, 75.65, 245.1, -1.531, -5.272, 2.606, 2.578
1970, 4, 29.53, 83.73, 2.136, -2.11, 3.032, 2.979
1970, 5, 16.94, 12.45, 10.62, 6.722, 2.228, 2.223
1970, 6, 27.24, 44.97, 13.66, 10.23, 2.529, 2.488
1970, 7, 46.87, 77.92, 17.71, 13.87, 1.387, 1.363
1970, 8, 51.75, 91.22, 17.27, 13.71, 1.498, 1.471
1970, 9, 91.9, 202.4, 11.28, 7.734, 2.425, 2.403
1970, 10, 55.68, 101.4, 3.998, 0.3209, 2.699, 2.669
1970, 11, 28.05, 145, 0.3034, -2.579, 2.978, 2.943
1970, 12, 30.34, 141.6, -4.399, -7.421, 2.565, 2.485
1971, 1, 12.77, 44.72, -5.813, -8.213, 2.579, 2.477
1971, 2, 39.95, 105.7, -4.763, -7.589, 2.922, 2.838
1971, 3, 11.94, 42.18, 0.3041, -3.491, 3.142, 3.071
1971, 4, 30.18, 78.73, 4.496, 0.7355, 2.384, 2.387
1971, 5, 39.49, 75.51, 8.461, 4.622, 2.524, 2.492
1971, 6, 5.127, 9.806, 14.76, 10.3, 2.054, 2.055
1971, 7, 68.25, 95.18, 16.83, 13.01, 1.738, 1.694
1971, 8, 65.87, 99.14, 16.4, 12.55, 1.478, 1.417
1971, 9, 53.46, 90.55, 11.71, 7.987, 2.515, 2.517
1971, 10, 51.13, 129.4, 5.718, 2.351, 2.455, 2.432
1971, 11, 23.64, 57.97, -1.21, -3.631, 2.205, 2.149
1971, 12, 66.84, 257.2, -7.606, -9.463, 2.341, 2.29
1972, 1, 16.42, 35.49, -6.731, -8.442, 2.884, 2.777
1972, 2, 8.837, 14.61, -2.082, -5.285, 2.678, 2.589
1972, 3, 15.44, 46.26, 3.684, 0.9915, 2.668, 2.619
1972, 4, 6.729, 34.22, 6.203, 2.957, 3.045, 3.047
1972, 5, 18.77, 21.86, 10.1, 6.676, 1.967, 1.927
1972, 6, 14.61, 25.87, 15.44, 11.41, 1.928, 1.939
1972, 7, 48.46, 63.9, 17.25, 13.33, 1.716, 1.727
1972, 8, 53.09, 68.31, 16.15, 12.28, 1.588, 1.524
1972, 9, 39.82, 61.27, 12.95, 9.075, 2.298, 2.264
1972, 10, 125.2, 266, 7.712, 3.988, 2.26, 2.23
1972, 11, 57.58, 123.2, -6.318, -8.077, 2.527, 2.481
1972, 12, 71.33, 230.3, -10.36, -11.22, 2.617, 2.524
1973, 1, 20.14, 60.23, -12.31, -12.35, 2.38, 2.276
1973, 2, 23.66, 67.09, -7.783, -9.217, 1.824, 1.713
1973, 3, 62.05, 72.2, -1.155, -4.865, 2.582, 2.513
1973, 4, 25.35, 65.64, 2.194, -1.697, 2.637, 2.587
1973, 5, 49.88, 65.75, 9.632, 5.696, 2.37, 2.277
1973, 6, 16.49, 36.53, 14.4, 10.47, 2.601, 2.629
1973, 7, 57, 63.48, 16.47, 12.79, 1.861, 1.86
1973, 8, 43.55, 93.41, 16.08, 12.4, 2.131, 2.102
1973, 9, 51.22, 47.81, 11.63, 8.061, 2.981, 2.977
1973, 10, 27.44, 31.85, 7.283, 4.326, 2.775, 2.726
1973, 11, 17.79, 75.38, 1.188, -1.771, 4.209, 4.112
1973, 12, 26.28, 91.02, -5.058, -6.941, 3.948, 3.801
1974, 1, 69.96, 166, -10.02, -11.04, 3.764, 3.648
1974, 2, 11.94, 24.6, -8.144, -9.436, 3.324, 3.19
1974, 3, 41.18, 87.73, 3.161, -0.5135, 4.03, 3.977
1974, 4, 14.98, 42.22, 4.236, 0.4311, 3.425, 3.353
1974, 5, 0.9957, 0.3165, 11.94, 8.21, 3.16, 3.131
1974, 6, 15.6, 14.47, 15.34, 11.74, 2.182, 2.207
1974, 7, 87.99, 102.2, 16.74, 12.84, 2.053, 1.982
1974, 8, 36.83, 58.9, 14.75, 11.39, 2.318, 2.323
1974, 9, 23.68, 43.46, 12.13, 9.098, 2.273, 2.3
1974, 10, 50.59, 99.86, 7.67, 4.17, 2.193, 2.134
1974, 11, 22.53, 66.63, -0.8958, -3.212, 2.605, 2.508
1974, 12, 47.02, 98.16, -8.799, -10.23, 2.938, 2.813
1975, 1, 48.71, 143.6, -11.62, -11.74, 3.769, 3.676
1975, 2, 57.78, 125.6, -6.597, -9.509, 3.367, 3.272
1975, 3, 100, 259.4, -0.7463, -4.699, 3.2, 3.185
1975, 4, 53.51, 118.9, 2.585, -1.627, 3.497, 3.449
1975, 5, 4.362, 22.58, 8.363, 4.289, 2.76, 2.724
1975, 6, 17.45, 29.9, 13.57, 9.441, 2.6, 2.584
1975, 7, 65.21, 104.6, 16.94, 13, 1.874, 1.859
1975, 8, 40.8, 44.8, 15.71, 11.91, 1.702, 1.675
1975, 9, 63.76, 65.87, 11.59, 8.263, 2.172, 2.165
1975, 10, 23.68, 42.26, 6.686, 3.542, 2.339, 2.279
1975, 11, 59.89, 124.5, -1.973, -3.795, 2.889, 2.758
1975, 12, 28.6, 87.56, -7.595, -8.218, 2.301, 2.163
1976, 1, 7.735, 17.55, -9.222, -9.852, 2.6, 2.476
1976, 2, 61.22, 181.9, -1.39, -4.448, 3.038, 2.943
1976, 3, 41.93, 120.9, -0.1974, -3.989, 3.144, 3.066
1976, 4, 44.18, 93.63, 5.124, 1.181, 2.33, 2.261
1976, 5, 37.01, 74.52, 9.817, 6.079, 2.042, 2.011
1976, 6, 9.66, 14.86, 13.88, 9.852, 2.382, 2.338
1976, 7, 43.56, 43.69, 17.22, 12.92, 1.504, 1.451
1976, 8, 71.96, 93.06, 14.64, 10.45, 1.938, 1.92
1976, 9, 50.07, 95.26, 11.71, 7.339, 1.797, 1.733
1976, 10, 12.79, 11.93, 4.726, 0.8782, 2.134, 2.081
1976, 11, 16.92, 27.52, -1.122, -4.009, 2.2, 2.116
1976, 12, 3.374, 9.693, -8.648, -9.537, 2.118, 1.941
1977, 1, 25.32, 61.44, -10.04, -11.45, 2.418, 2.312
1977, 2, 19.49, 39.8, -4.391, -7.223, 2.667, 2.538
1977, 3, 18.88, 47.48, -2.111, -6.114, 2.893, 2.803
1977, 4, 39.76, 78.14, 5.369, 1.817, 1.705, 1.648
1977, 5, 17.11, 17.88, 9.474, 5.821, 2.17, 2.16
1977, 6, 17.98, 13.28, 15.63, 12.03, 1.708, 1.712
1977, 7, 103, 74.13, 17.02, 13.28, 1.994, 2.033
1977, 8, 52.35, 66.66, 16.6, 12.86, 2.07, 2.103
1977, 9, 49.44, 58.91, 12.82, 9.689, 2.601, 2.595
1977, 10, 20.52, 48.26, 7.463, 4.946, 2.312, 2.255
