# Created by WEAP: 12/14/2020 6:11:22 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CA_PGE_CEN_Pajaro (336,291 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (318,564 ha),  1000 - 2000 m (17,727 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m

1970, 1, 186.4, 132.3, 9.647, 7.368, 2.756, 2.489
1970, 2, 55.87, 65.64, 11.12, 9.047, 2.051, 1.968
1970, 3, 62.54, 77.13, 12.1, 9.639, 2.351, 2.24
1970, 4, 10.19, 7.395, 11.57, 9.74, 3.338, 3.318
1970, 5, 0.01463, 0.001296, 17.15, 17.09, 2.662, 2.656
1970, 6, 4.026, 0.5858, 18.54, 20.15, 2.996, 2.927
1970, 7, 0, 0, 21.35, 24.69, 2.531, 2.374
1970, 8, 0, 0, 20.14, 23.48, 2.338, 2.242
1970, 9, 0.03514, 0, 20.1, 20.49, 2.221, 2.125
1970, 10, 8.604, 4.541, 15.22, 15.22, 1.667, 1.664
1970, 11, 153.5, 174.3, 12.34, 10.33, 2.013, 2.051
1970, 12, 136, 139.3, 7.588, 4.793, 2.018, 2.008
1971, 1, 39.53, 25.24, 8.036, 5.599, 2.474, 2.428
1971, 2, 13.96, 9.951, 9.115, 7.108, 2.554, 2.491
1971, 3, 47.51, 30.92, 10.75, 8.704, 2.173, 2.162
1971, 4, 49.41, 43.3, 11.89, 10.3, 2.674, 2.783
1971, 5, 11.24, 32.48, 13.95, 12.71, 3.134, 3.046
1971, 6, 0.001462, 0, 18.3, 18.94, 3.402, 3.335
