# Created by WEAP: 12/14/2020 6:11:45 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CO_DEN_Clear Creek (144,069 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (29,139 ha),  2000 - 3000 m (64,980 ha),  3000 - 4000 m (49,321 ha),  4000 - 5000 m (630 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 4000 to 5000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 4000 to 5000 m

1970, 1, 1.994, 11.3, 75.52, 59.52, 1.042, -3.225, -8.68, -10.56, 4.334, 4.157, 3.96, 3.873
1970, 2, 0.961, 11.12, 59.14, 55.25, 5.627, -0.03906, -5.478, -7.488, 3.371, 3.223, 3.066, 3
1970, 3, 79.22, 78.29, 101.2, 100.2, 2.242, -2.426, -7.245, -9.356, 3.374, 3.258, 3.141, 3.092
1970, 4, 21.6, 32.53, 85.22, 75.54, 7.87, 1.617, -3.78, -5.773, 3.535, 3.431, 3.332, 3.298
1970, 5, 22.1, 19.44, 22.01, 22.23, 16.72, 10.25, 5.392, 3.446, 2.237, 2.193, 2.157, 2.138
1970, 6, 67.22, 70.02, 66.41, 60.08, 19.83, 13.55, 8.923, 6.915, 2.488, 2.441, 2.398, 2.391
1970, 7, 35.54, 71.79, 70.65, 76.06, 23.63, 17.12, 12.7, 10.54, 1.367, 1.352, 1.356, 1.345
1970, 8, 13.19, 35.81, 70.75, 75, 24.21, 17.23, 12.97, 10.86, 1.53, 1.469, 1.43, 1.409
1970, 9, 68.75, 81.23, 119.9, 132, 16.92, 10.65, 6.407, 4.716, 2.779, 2.727, 2.678, 2.663
1970, 10, 23.76, 32.64, 60.18, 50.59, 9.272, 3.698, -0.8265, -2.625, 2.901, 2.857, 2.809, 2.787
1970, 11, 27.72, 38.76, 87.88, 74.88, 5.571, 0.5585, -4.181, -5.999, 4.065, 3.937, 3.803, 3.76
1970, 12, 3.614, 11.98, 49.47, 35.07, 2.811, -2.013, -7.195, -8.943, 4.352, 4.19, 4.005, 3.932
1971, 1, 9.933, 17.18, 68.45, 61.88, 2.087, -2.639, -8.045, -9.922, 5.028, 4.812, 4.571, 4.466
1971, 2, 29.27, 38.88, 104.1, 101.8, 0.8114, -3.906, -8.894, -10.79, 4.329, 4.121, 3.914, 3.86
1971, 3, 15.91, 24.13, 61.91, 46.5, 5.343, -0.2226, -6.053, -7.859, 4.07, 3.96, 3.847, 3.813
1971, 4, 92.94, 97.25, 147.3, 142.5, 9.423, 3.753, -0.812, -2.768, 2.769, 2.684, 2.614, 2.589
1971, 5, 38.19, 34.11, 58.28, 51.17, 13.23, 7.712, 3.24, 1.35, 2.745, 2.659, 2.583, 2.567
1971, 6, 13.38, 6.743, 9.39, 6.302, 21.65, 14.58, 9.588, 7.834, 1.947, 1.951, 1.965, 1.963
1971, 7, 23.2, 40.77, 57.87, 66.45, 22.4, 16.25, 12.25, 10.17, 1.982, 1.928, 1.88, 1.866
1971, 8, 16.85, 24.99, 57.7, 65.84, 23.47, 16.46, 12.33, 10.03, 1.812, 1.683, 1.574, 1.554
1971, 9, 77.71, 69.1, 65.35, 73.11, 15.81, 10.54, 6.057, 4.225, 3.029, 3.008, 2.983, 2.967
1971, 10, 13.85, 26.34, 47.35, 48.41, 11.34, 5.821, 1.266, -0.4029, 3.145, 3.073, 2.997, 2.963
1971, 11, 10.51, 22.74, 58.25, 52.94, 5.732, 0.1139, -4.739, -6.385, 3.516, 3.389, 3.247, 3.185
1971, 12, 8.369, 11.92, 45.33, 38.02, 1.354, -4.307, -9.407, -10.96, 3.966, 3.815, 3.642, 3.561
1972, 1, 15.96, 36.17, 94.39, 79.98, 1.183, -4.11, -9.459, -11.23, 5.343, 5.158, 4.942, 4.839
1972, 2, 11.34, 17.75, 71.19, 59.77, 4.18, -1.981, -7.05, -8.846, 4.272, 4.114, 3.944, 3.883
1972, 3, 15.87, 27.52, 72.16, 52.78, 8.956, 2.519, -2.439, -4.339, 3.96, 3.824, 3.673, 3.616
1972, 4, 51.39, 34.24, 69.2, 52.49, 10.32, 4.548, 0.08463, -1.772, 3.356, 3.334, 3.307, 3.29
1972, 5, 17.82, 12.6, 35.73, 40.38, 14.52, 8.685, 3.826, 1.878, 2.492, 2.366, 2.26, 2.23
1972, 6, 47.44, 85.89, 86.19, 80.12, 21.1, 14.7, 9.801, 7.781, 1.608, 1.624, 1.654, 1.658
1972, 7, 33.9, 39.19, 31.63, 32.29, 21.99, 16.37, 12.19, 10.03, 1.838, 1.78, 1.742, 1.724
1972, 8, 65.19, 95.8, 113.3, 123.6, 21.98, 15.69, 10.78, 8.607, 1.76, 1.65, 1.563, 1.544
1972, 9, 29.58, 44.71, 67.78, 59.95, 17.54, 11.8, 7.12, 5.344, 2.874, 2.877, 2.868, 2.845
1972, 10, 29.91, 34.13, 42.27, 38.44, 11.47, 6.185, 1.994, 0.2992, 2.634, 2.583, 2.535, 2.521
1972, 11, 54.03, 52.02, 79.81, 82.37, 1.376, -3.404, -7.36, -9.198, 3.326, 3.179, 3.034, 2.999
1972, 12, 16.49, 29.45, 60.07, 62.97, -1.721, -5.797, -9.375, -10.83, 4.107, 3.895, 3.676, 3.604
1973, 1, 24.81, 24.41, 41.19, 37.03, -1.125, -4.665, -8.973, -10.56, 4.051, 3.802, 3.552, 3.481
1973, 2, 2.593, 4.303, 22.86, 13.65, 2.15, -3.205, -7.62, -9.281, 3.224, 3.018, 2.808, 2.749
1973, 3, 54.28, 44.61, 59.07, 57.64, 4.168, -1.985, -6.8, -8.674, 3.22, 3.072, 2.926, 2.885
1973, 4, 105.2, 110.1, 122.6, 117.9, 5.879, 0.2863, -4.34, -6.08, 3.505, 3.366, 3.226, 3.193
1973, 5, 123.2, 115, 142.1, 151.1, 13.25, 7.127, 2.745, 0.9857, 3.166, 3.043, 2.919, 2.877
1973, 6, 34.17, 28.87, 41.21, 32.47, 20.84, 13.77, 8.493, 6.824, 2.847, 2.85, 2.86, 2.849
1973, 7, 68.37, 72.28, 98.57, 102.4, 21.79, 15.67, 11.18, 9.086, 1.893, 1.832, 1.803, 1.792
1973, 8, 18.01, 34.85, 39.12, 33.86, 23.69, 16.67, 12.12, 10.08, 2.303, 2.272, 2.262, 2.249
1973, 9, 52.91, 54.94, 59.98, 68.34, 16.09, 11.12, 7.109, 5.202, 3.138, 3.091, 3.058, 3.065
1973, 10, 12.86, 20.92, 26.33, 27.06, 13.2, 7.999, 3.793, 2.068, 3.37, 3.317, 3.247, 3.217
1973, 11, 24.77, 38.74, 72.58, 69.39, 5.245, 2.362, -2.832, -4.79, 5.019, 4.898, 4.753, 4.719
1973, 12, 33.97, 55.48, 95.93, 111.2, 2.251, -2.576, -6.955, -8.805, 5.04, 4.877, 4.695, 4.653
1974, 1, 28.06, 33.25, 73.84, 76.49, -1.508, -3.444, -8.622, -10.43, 5.04, 4.902, 4.739, 4.702
1974, 2, 20.84, 30.41, 54.77, 53.25, 3.493, 0.08125, -7.078, -9.131, 4.67, 4.489, 4.291, 4.23
1974, 3, 26.5, 50.1, 112.3, 99.69, 7.635, 3.441, -2.802, -4.713, 5.083, 5.001, 4.897, 4.864
1974, 4, 54.88, 81.75, 130.9, 120.8, 9.415, 4.646, -1.648, -3.616, 3.79, 3.716, 3.637, 3.624
1974, 5, 3.278, 2.806, 8.816, 4.716, 17.13, 12.26, 6.395, 4.454, 3.485, 3.497, 3.498, 3.486
1974, 6, 61.58, 40.36, 72.63, 50.12, 20.87, 15.62, 10.25, 8.075, 2.252, 2.234, 2.239, 2.233
1974, 7, 28.01, 55.23, 88.22, 84.66, 23.96, 17.67, 12.81, 10.33, 2.212, 2.111, 2.043, 2.03
1974, 8, 7.729, 21.4, 39.29, 42.52, 21.07, 15.36, 11.12, 8.633, 2.205, 2.17, 2.162, 2.161
1974, 9, 38.16, 47.11, 54.43, 55.25, 15.71, 10.51, 6.597, 4.519, 2.172, 2.145, 2.134, 2.132
1974, 10, 45.39, 52.49, 70.6, 82.58, 12.52, 7.429, 3.385, 1.435, 2.633, 2.558, 2.482, 2.465
1974, 11, 31.7, 33.82, 55.74, 53.12, 4.929, -0.4207, -5.196, -7.143, 3.922, 3.757, 3.575, 3.514
1974, 12, 13.92, 24, 56.63, 55.48, 0.5093, -4.75, -9.428, -11.34, 4.416, 4.203, 3.979, 3.912
1975, 1, 10.44, 33.41, 96.27, 97.33, 0.576, -4.4, -9.221, -11.16, 5.393, 5.207, 5, 4.94
1975, 2, 18.09, 29.73, 63.73, 66.76, 0.1491, -4.775, -9.589, -11.51, 4.447, 4.325, 4.185, 4.136
1975, 3, 27.14, 44.65, 83.68, 87.42, 3.619, -1.479, -6.041, -8.053, 4.059, 3.999, 3.924, 3.89
1975, 4, 47.22, 54.56, 77.97, 74.72, 7.122, 1.845, -2.804, -4.875, 3.867, 3.794, 3.718, 3.689
1975, 5, 88.29, 81.16, 77.11, 70.86, 12.72, 7.03, 2.46, 0.5346, 3.217, 3.187, 3.157, 3.145
1975, 6, 46.67, 44.58, 52.97, 46.74, 18.57, 12.4, 7.239, 5.488, 2.783, 2.763, 2.75, 2.737
1975, 7, 84.15, 75.86, 71.73, 66.63, 23.28, 17.23, 12.22, 10.01, 1.965, 1.87, 1.796, 1.781
1975, 8, 50.12, 38.96, 44.19, 41.38, 22.32, 16.54, 11.95, 9.71, 1.913, 1.889, 1.877, 1.862
1975, 9, 14.66, 27.8, 43.84, 47.91, 16.01, 11.36, 7.597, 5.267, 2.073, 2.044, 2.034, 2.035
1975, 10, 10.73, 18.84, 31.31, 33.48, 13.08, 7.718, 3.274, 1.32, 3.351, 3.227, 3.087, 3.017
1975, 11, 52.54, 56.63, 74.61, 77.28, 4.264, -0.4579, -4.808, -6.809, 4.345, 4.12, 3.887, 3.82
1975, 12, 10.3, 13.71, 29.21, 26.26, 4.031, -1.336, -6.228, -8.004, 4.313, 4.055, 3.783, 3.688
1976, 1, 11.21, 22.76, 68.21, 60.57, 0.9542, -4.128, -9.161, -11.04, 4.591, 4.354, 4.101, 4.016
1976, 2, 6.903, 18.45, 52.5, 55.03, 5.574, -0.1182, -5.035, -6.996, 4.992, 4.79, 4.581, 4.513
1976, 3, 27.08, 43.67, 78.91, 74.58, 3.926, -1.484, -6.223, -8.29, 4.31, 4.153, 3.987, 3.942
1976, 4, 46.42, 61.33, 100.2, 97.75, 9.824, 4.375, -0.05031, -2.136, 3.116, 3.006, 2.9, 2.859
1976, 5, 23.98, 43.71, 74.34, 78.24, 13.74, 8.445, 4.228, 2.214, 2.463, 2.382, 2.306, 2.281
1976, 6, 40.51, 38.63, 40.92, 38.17, 19.76, 13.74, 8.904, 7.125, 2.846, 2.775, 2.71, 2.67
1976, 7, 34.16, 50.15, 55.87, 62.18, 23.85, 17.64, 12.91, 10.66, 1.744, 1.656, 1.592, 1.576
1976, 8, 32.64, 50.65, 80.19, 70.61, 21.87, 15.68, 10.92, 8.753, 2.09, 2.05, 2.024, 2.01
1976, 9, 121.6, 83.91, 84.41, 89.93, 16.48, 11.22, 7.153, 5.128, 2.122, 2.096, 2.069, 2.066
1976, 10, 29.93, 32.43, 40.65, 42.31, 9.925, 4.956, 1.116, -0.9328, 2.536, 2.468, 2.397, 2.379
1976, 11, 4.43, 13.64, 35.44, 32.13, 5.007, 0.2432, -3.932, -6.06, 3.222, 3.079, 2.927, 2.869
1976, 12, 7.907, 13.02, 27.78, 26.09, 3.208, -2.28, -7.104, -9.08, 4.41, 4.077, 3.743, 3.642
1977, 1, 1.199, 8.097, 29.01, 20.2, -1.054, -5.116, -9.421, -11.32, 4.262, 4.069, 3.859, 3.781
1977, 2, 11.26, 27.19, 61.72, 62.71, 4.23, -1.604, -6.591, -8.529, 4.37, 4.099, 3.831, 3.756
1977, 3, 17.62, 44.86, 82.14, 64.45, 4.729, -1.306, -6.449, -8.332, 4.404, 4.193, 3.983, 3.918
1977, 4, 68.2, 75.21, 107.1, 120.9, 10.52, 4.711, 0.2683, -1.796, 2.198, 2.083, 1.969, 1.93
1977, 5, 12.35, 19.88, 33.89, 25.62, 16.23, 9.9, 4.95, 3.156, 2.687, 2.602, 2.52, 2.49
1977, 6, 34.96, 31.49, 35.58, 36.37, 22.58, 16.5, 11.75, 9.705, 1.847, 1.795, 1.754, 1.73
1977, 7, 70.68, 84.58, 81.39, 89.29, 23.79, 17.62, 12.72, 10.57, 1.835, 1.835, 1.853, 1.846
1977, 8, 26.73, 65.63, 85.46, 66.93, 21.6, 15.92, 11.69, 9.728, 1.807, 1.825, 1.86, 1.863
1977, 9, 2.302, 15.22, 36.78, 31.82, 20.05, 13.93, 9.319, 7.307, 2.775, 2.803, 2.83, 2.835
1977, 10, 5.571, 23.95, 54.94, 46.17, 13.05, 7.478, 3.17, 1.268, 2.852, 2.791, 2.725, 2.702
1977, 11, 19.26, 36.85, 82.53, 73.28, 6.079, 1.044, -3.365, -5.175, 4.229, 4.147, 4.052, 4.006
1977, 12, 1.957, 44.86, 121.5, 113.6, 3.372, -2.028, -7.185, -8.941, 5.299, 5.131, 4.955, 4.885
1978, 1, 8.58, 23.23, 66.49, 48.34, -2.291, -5.41, -8.516, -10.31, 3.324, 3.233, 3.14, 3.101
1978, 2, 5.392, 18.2, 59.01, 46.2, 0.1023, -4.152, -7.719, -9.585, 3.166, 3.084, 3.002, 2.973
1978, 3, 23.02, 43.33, 77.11, 66.04, 7.053, 1.719, -2.826, -4.937, 3.286, 3.147, 3.007, 2.962
1978, 4, 56.06, 68.68, 92.62, 76.5, 10.72, 5.222, 0.8689, -1.013, 3.684, 3.591, 3.501, 3.47
1978, 5, 120, 107.7, 117.6, 107.8, 13.33, 7.724, 2.686, 0.6653, 3.155, 3.038, 2.92, 2.87
1978, 6, 37.58, 38.37, 39.05, 42.66, 19.78, 13.99, 9.433, 7.56, 2.544, 2.451, 2.358, 2.299
1978, 7, 16.05, 20.52, 18.09, 16.87, 24.22, 18.02, 13.29, 11.26, 2.069, 2.026, 1.995, 1.981
1978, 8, 11.6, 16.73, 22.71, 28.44, 21.61, 15.64, 10.99, 8.804, 2.225, 2.19, 2.16, 2.15
1978, 9, 7.861, 7.238, 9.111, 10.69, 19.26, 13.27, 8.762, 6.702, 2.274, 2.217, 2.172, 2.161
1978, 10, 35.65, 46.08, 54.84, 60.26, 12.88, 7.96, 3.857, 1.89, 2.513, 2.441, 2.365, 2.327
1978, 11, 12.64, 19.6, 44.88, 44.68, 4.591, 0.457, -3.424, -5.858, 3.286, 3.196, 3.1, 3.056
1978, 12, 23.91, 34.67, 80.8, 83.48, -2.139, -6.594, -10.67, -12.62, 4.8, 4.602, 4.393, 4.319
1979, 1, 12.49, 29.4, 89.88, 69.87, -5.387, -9.006, -12.68, -14.62, 3.488, 3.356, 3.219, 3.174
1979, 2, 9.373, 21.37, 61.87, 64.16, 2.573, -2.755, -7.52, -9.528, 4.07, 3.927, 3.767, 3.705
1979, 3, 45.85, 66.19, 97.25, 90.46, 5.334, -0.2112, -5.228, -7.461, 3.323, 3.155, 2.994, 2.944
1979, 4, 44.43, 59.78, 88.68, 74.04, 10.22, 4.561, -0.6624, -2.585, 2.797, 2.717, 2.643, 2.615
1979, 5, 100.4, 117.7, 163.3, 182.4, 13, 7.417, 3.196, 1.165, 2.566, 2.512, 2.461, 2.437
1979, 6, 88.94, 73.46, 62.08, 61.6, 19.13, 13.2, 8.876, 7.052, 2.198, 2.189, 2.185, 2.181
1979, 7, 9.567, 30.22, 50.43, 55.03, 23.95, 17.64, 12.88, 10.71, 1.526, 1.502, 1.495, 1.481
1979, 8, 93.9, 75.58, 65.84, 69.19, 21.27, 15.86, 11.27, 8.973, 1.778, 1.72, 1.683, 1.668
1979, 9, 9.374, 8.756, 7.711, 8.369, 19.63, 14.09, 9.958, 7.705, 1.979, 1.933, 1.893, 1.87
1979, 10, 29.07, 33.29, 46.29, 58.52, 13.11, 7.994, 4.042, 1.958, 3.028, 2.866, 2.707, 2.652
1979, 11, 55.38, 71.51, 102.4, 102.7, 1.736, -3.358, -8.066, -10.26, 3.345, 3.128, 2.911, 2.841
1979, 12, 29.51, 30.14, 33.92, 29.32, 3.103, -1.34, -6.007, -7.99, 4.009, 3.726, 3.436, 3.337
1980, 1, 14.25, 42.91, 140.3, 129.9, -1.762, -5.127, -8.504, -10.48, 4.061, 3.92, 3.781, 3.742
